"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1","코스피","030720","동원수산","어업",9490,-240,44164609450
"2","코스피","007160","사조산업","어업",29050,-950,1.4525e+11
"3","코스피","006040","동원산업","어업",195000,-6000,717139995000
"4","코스피","004970","신라교역","어업",9980,-120,1.5968e+11
"5","코스피","012320","경동인베스트","광업",32000,-500,75680736000
"6","코스피","003580","넥스트사이언스","광업",7030,-270,223010559910
"7","코스피","017810","풀무원","음식료품",11150,-50,424714092500
"8","코스피","280360","롯데제과","음식료품",138000,-3000,885506946000
"9","코스피","000087","하이트진로2우B","음식료품",15950,-250,18025701100
"10","코스피","033920","무학","음식료품",6390,-70,1.82115e+11
"11","코스피","001799","대한제당3우B","음식료품",20300,-150,2632016800
"12","코스피","000080","하이트진로","음식료품",29200,-50,2047901441200
"13","코스피","011150","CJ씨푸드","음식료품",3605,-125,129530436665
"14","코스피","097955","CJ제일제당 우","음식료품",109000,-2000,144690197000
"15","코스피","097950","CJ제일제당","음식료품",257500,-2000,3876452895000
"16","코스피","002600","조흥","음식료품",128500,-3500,7.71e+10
"17","코스피","049770","동원F&B","음식료품",206000,-3500,794979544000
"18","코스피","036580","팜스코","음식료품",3915,-70,143789896845
"19","코스피","008040","사조동아원","음식료품",946,-8,133522791600
"20","코스피","006980","우성사료","음식료품",2980,-35,9.2082e+10
"21","코스피","005610","SPC삼립","음식료품",68800,-3500,593675819200
"22","코스피","005300","롯데칠성","음식료품",109500,-4000,875283870000
"23","코스피","004415","서울식품우","음식료품",3960,-215,8809020000
"24","코스피","004410","서울식품","음식료품",177,-5,59721570000
"25","코스피","004370","농심","음식료품",265500,-6500,1614941451000
"26","코스피","003960","사조대림","음식료품",14100,-350,129218984700
"27","코스피","003920","남양유업","음식료품",383000,0,2.7576e+11
"28","코스피","002270","롯데푸드","음식료품",329500,-10000,372951165000
"29","코스피","002140","고려산업","음식료품",2675,-100,66712961875
"30","코스피","001795","대한제당우","음식료품",12500,-50,8103450000
"31","코스피","001790","대한제당","음식료품",19750,-250,174590039500
"32","코스피","001685","대상우","음식료품",12200,-250,16716720600
"33","코스피","001130","대한제분","음식료품",136500,-1500,2.30685e+11
"34","코스피","111110","호전실업","섬유의복",12800,-400,1.024e+11
"35","코스피","093240","형지엘리트","섬유의복",1315,-15,40968559370
"36","코스피","105630","한세실업","섬유의복",13400,-450,5.36e+11
"37","코스피","093050","LF","섬유의복",12450,-450,3.64038e+11
"38","코스피","084870","TBH글로벌","섬유의복",2035,15,42443626665
"39","코스피","020000","한섬","섬유의복",24500,-800,6.03435e+11
"40","코스피","014990","인디에프","섬유의복",1740,-35,102543411300
"41","코스피","011300","성안","섬유의복",526,-11,29907234360
"42","코스피","009270","신원","섬유의복",1595,-10,135642785905
"43","코스피","008500","일정실업","섬유의복",13950,-900,1.674e+10
"44","코스피","005820","원림","섬유의복",17600,100,3.872e+10
"45","코스피","005800","신영와코루","섬유의복",90100,-700,8.109e+10
"46","코스피","003610","방림","섬유의복",1965,-20,83147186850
"47","코스피","003200","일신방직","섬유의복",60300,-1100,1.4472e+11
"48","코스피","002070","남영비비안","섬유의복",1310,65,89970079500
"49","코스피","001465","BYC우","섬유의복",114000,0,24553890000
"50","코스피","001460","BYC","섬유의복",205000,-1000,128046075000
"51","코스피","001070","대한방직","섬유의복",23300,-150,1.2349e+11
"52","코스피","000950","전방","섬유의복",12950,-350,2.1756e+10
"53","코스피","016590","신대양제지","종이목재",55200,-1500,222443966400
"54","코스피","014160","대영포장","종이목재",1105,-30,119775976645
"55","코스피","012690","모나리자","종이목재",5960,270,217964679800
"56","코스피","009580","무림P&P","종이목재",3645,-50,227332540980
"57","코스피","009200","무림페이퍼","종이목재",2400,-25,99862344000
"58","코스피","004545","깨끗한나라우","종이목재",20900,1150,7652744000
"59","코스피","004540","깨끗한나라","종이목재",3370,245,125501135410
"60","코스피","002870","신풍제지","종이목재",1280,-35,44747136000
"61","코스피","002820","선창산업","종이목재",3410,-160,42993242490
"62","코스피","002310","아세아제지","종이목재",30200,-850,270486360400
"63","코스피","002300","한국제지","종이목재",16200,-300,81080173800
"64","코스피","001020","페이퍼코리아","종이목재",434,0,45786496560
"65","코스피","00279K","아모레G3우(전환)","화학",42350,-1500,300354670000
"66","코스피","267250","현대중공업지주","화학",265500,-14500,4324096813500
"67","코스피","096775","SK이노베이션우","화학",71200,-2300,88887931200
"68","코스피","096770","SK이노베이션","화학",107500,-5500,9940048130000
"69","코스피","005725","넥센우","화학",3105,-15,11179863000
"70","코스피","005720","넥센","화학",5150,-120,275751481550
"71","코스피","002795","아모레G우","화학",25000,-700,161094250000
"72","코스피","002790","아모레G","화학",62500,-2000,5153636250000
"73","코스피","298000","효성화학","화학",107500,-2500,342938545000
"74","코스피","226320","잇츠한불","화학",15900,-350,348676108500
"75","코스피","018250","애경산업","화학",27250,-650,719670728750
"76","코스피","285130","SK케미칼","화학",60500,-1400,710354458000
"77","코스피","055490","테이팩스","화학",19050,-900,89871232500
"78","코스피","025620","제이준코스메틱","화학",3550,45,107629322450
"79","코스피","00088K","한화3우B","화학",12400,-150,278652800000
"80","코스피","214420","토니모리","화학",10850,-450,1.91394e+11
"81","코스피","161890","한국콜마","화학",42100,-900,963297678000
"82","코스피","079980","휴비스","화학",6250,-70,2.15625e+11
"83","코스피","078520","에이블씨엔씨","화학",10600,-500,286554665400
"84","코스피","115390","락앤락","화학",12300,-250,666495180000
"85","코스피","108675","LG하우시스우","화학",21450,-550,22143478500
"86","코스피","271560","오리온","음식료품",98500,-700,3894309002000
"87","코스피","006090","사조오양","음식료품",8760,160,82543193640
"88","코스피","008250","이건산업","종이목재",5610,-80,61444282350
"89","코스피","26490K","크라운제과우","음식료품",7430,-70,5747550800
"90","코스피","101530","해태제과식품","음식료품",6780,-170,197412053160
"91","코스피","264900","크라운제과","음식료품",7720,-170,96684122000
"92","코스피","090370","메타랩스","섬유의복",1025,-45,53616710650
"93","코스피","248170","샘표식품","음식료품",28850,-500,131795051100
"94","코스피","102280","쌍방울","섬유의복",1195,190,166534754265
"95","코스피","272550","삼양패키징","화학",15350,-350,218120491400
"96","코스피","014710","사조씨푸드","음식료품",4160,-100,71629138880
"97","코스피","136490","선진","음식료품",7990,-340,189999035960
"98","코스피","011280","태림포장","종이목재",3950,-60,279683463000
"99","코스피","138490","코오롱플라스틱","화학",3640,-100,1.3832e+11
"100","코스피","145995","삼양사우","음식료품",27400,0,10139918000
"101","코스피","134380","미원화학","화학",44350,-650,97537535800
"102","코스피","145990","삼양사","음식료품",37200,-1350,382780671600
"103","코스피","011155","CJ씨푸드1우","음식료품",34900,-1000,6.98e+09
"104","코스피","213500","한솔제지","종이목재",13000,-250,309407488000
"105","코스피","161000","애경유화","화학",7170,-130,229726800000
"106","코스피","027740","마니커","음식료품",793,-12,125668767042
"107","코스피","016450","한세예스24홀딩스","섬유의복",5780,-50,2.312e+11
"108","코스피","023150","MH에탄올","음식료품",8000,-80,59028208000
"109","코스피","007310","오뚜기","음식료품",511000,-12000,1842276107000
"110","코스피","009275","신원우","섬유의복",38750,-250,3516175000
"111","코스피","025750","한솔홈데코","종이목재",968,-30,77987064232
"112","코스피","009460","한창제지","종이목재",3785,-120,225841434510
"113","코스피","298050","효성첨단소재","화학",86900,-2100,389307481200
"114","코스피","161390","한국타이어앤테크놀로지","화학",25850,-200,3202170533650
"115","코스피","005305","롯데칠성우","음식료품",56600,-400,43882546000
"116","코스피","005180","빙그레","음식료품",53100,-900,523100897100
"117","코스피","007700","F&F","섬유의복",105500,0,1.6247e+12
"118","코스피","009770","삼정펄프","종이목재",29750,-250,74374137250
"119","코스피","014825","동원시스템즈우","화학",28900,-900,7668846200
"120","코스피","003925","남양유업우","음식료품",122000,-500,20332764000
"121","코스피","002200","수출포장","종이목재",19400,-250,7.76e+10
"122","코스피","100250","진양홀딩스","화학",2370,-60,132471842040
"123","코스피","282690","동아타이어","화학",10650,0,146256609750
"124","코스피","003680","한성기업","음식료품",5170,90,31902808520
"125","코스피","144620","코오롱머티리얼","화학",1560,-45,107107470600
"126","코스피","003230","삼양식품","음식료품",90900,-1900,684751063500
"127","코스피","001680","대상","음식료품",19500,-550,675636487500
"128","코스피","000890","보해양조","음식료품",967,-21,123243543691
"129","코스피","007980","태평양물산","섬유의복",2215,-75,110554508530
"130","코스피","016090","대현","섬유의복",2055,-25,91000147050
"131","코스피","109070","컨버즈","종이목재",18800,1650,63457839600
"132","코스피","027970","세하","종이목재",1825,-70,53952469525
"133","코스피","006740","영풍제지","종이목재",3255,-70,7.2261e+10
"134","코스피","092230","KPX홀딩스","화학",47700,-250,201515614200
"135","코스피","268280","미원에스씨","화학",71400,0,376127417400
"136","코스피","298020","효성티앤씨","화학",148500,-4500,642660777000
"137","코스피","28513K","SK케미칼우","화학",28050,-1000,40915693500
"138","코스피","163560","동일고무벨트","화학",5370,-80,71689500000
"139","코스피","192820","코스맥스","화학",83200,-1000,836119148800
"140","코스피","014820","동원시스템즈","화학",22950,150,587944827450
"141","코스피","120115","코오롱인더우","화학",18200,-600,50375052000
"142","코스피","120110","코오롱인더","화학",33250,-950,897046430000
"143","코스피","108670","LG하우시스","화학",44950,-1100,403096766500
"144","코스피","093370","후성","화학",7580,-130,701959688020
"145","코스피","089470","HDC현대EP","화학",3685,-70,117551500000
"146","코스피","090355","노루페인트우","화학",13700,-500,6344826200
"147","코스피","090350","노루페인트","화학",6770,-180,1.354e+11
"148","코스피","090435","아모레퍼시픽우","화학",71100,-2400,750661713000
"149","코스피","090430","아모레퍼시픽","화학",167500,-5000,9791797075000
"150","코스피","083420","그린케미칼","화학",3220,-10,7.728e+10
"151","코스피","073240","금호타이어","화학",3765,-95,1081534980555
"152","코스피","081000","일진다이아","화학",24400,-650,346552590000
"153","코스피","014830","유니드","화학",37550,-1050,333813604650
"154","코스피","006890","태경화학","화학",4895,-85,5.6782e+10
"155","코스피","011500","한농화성","화학",4480,-165,70053948160
"156","코스피","069260","휴켐스","화학",17750,-350,725594937000
"157","코스피","051915","LG화학우","화학",199500,-2000,1533915600000
"158","코스피","051910","LG화학","화학",397000,-9000,28025160171000
"159","코스피","051905","LG생활건강우","화학",796000,-14000,1671358812000
"160","코스피","051900","LG생활건강","화학",1281000,-17000,20006910357000
"161","코스피","051630","진양화학","화학",4535,80,5.442e+10
"162","코스피","035150","백산","화학",6810,-90,1.64802e+11
"163","코스피","025860","남해화학","화학",7080,-170,351726208440
"164","코스피","025000","KPX케미칼","화학",49900,-1000,2.41516e+11
"165","코스피","024890","대원화성","화학",1350,-25,55686355200
"166","코스피","024070","WISCOM","화학",2485,-25,38086198430
"167","코스피","023450","동남합성","화학",27750,350,100504617000
"168","코스피","015890","태경산업","화학",5030,-110,147020612500
"169","코스피","014680","한솔케미칼","화학",92900,-1600,1049323615500
"170","코스피","014530","극동유화","화학",3260,-75,113674309200
"171","코스피","014440","영보화학","화학",3070,-50,6.14e+10
"172","코스피","012610","경인양행","화학",7670,-170,312831419550
"173","코스피","011790","SKC","화학",53500,-900,2008098692500
"174","코스피","011785","금호석유우","화학",28050,-950,84808782300
"175","코스피","011780","금호석유","화학",64900,-1100,1977353145900
"176","코스피","011170","롯데케미칼","화학",175500,-8000,6015336034500
"177","코스피","010955","S-Oil우","화학",38750,-1100,155849671250
"178","코스피","010950","S-Oil","화학",64500,-3300,7261590084000
"179","코스피","010640","진양폴리","화학",3695,70,3.695e+10
"180","코스피","010060","OCI","화학",51100,-100,1218702858100
"181","코스피","009835","한화솔루션우","화학",11300,-150,12698228100
"182","코스피","009830","한화솔루션","화학",18250,-400,2946997042500
"183","코스피","008730","율촌화학","화학",12350,-150,3.0628e+11
"184","코스피","008490","서흥","화학",37900,-1750,438469382700
"185","코스피","007690","국도화학","화학",39950,-300,232134109200
"186","코스피","007590","동방아그로","화학",6430,50,87561020110
"187","코스피","006650","대한유화","화학",88600,-2400,5.759e+11
"188","코스피","006380","카프로","화학",3000,-45,1.2e+11
"189","코스피","006060","화승인더","화학",10500,-400,5.8086e+11
"190","코스피","005950","이수화학","화학",8270,-200,126349060000
"191","코스피","005420","코스모화학","화학",8360,-240,218286497000
"192","코스피","005190","동성화학","화학",15900,-200,84835467600
"193","코스피","005070","코스모신소재","화학",10050,-100,293942048250
"194","코스피","004910","조광페인트","화학",4910,-90,6.2848e+10
"195","코스피","004835","덕성우","화학",7910,-130,11010720000
"196","코스피","004830","덕성","화학",3260,-40,51116800000
"197","코스피","004430","송원산업","화학",11450,-450,2.748e+11
"198","코스피","004255","NPC우","화학",2170,0,11457600000
"199","코스피","004250","NPC","화학",3335,-60,122461200000
"200","코스피","004000","롯데정밀화학","화학",33900,-750,8.7462e+11
"201","코스피","003830","대한화섬","화학",81900,-400,108763200000
"202","코스피","003780","진양산업","화학",3770,-30,4.901e+10
"203","코스피","003720","삼영화학","화학",1095,-20,3.723e+10
"204","코스피","003650","미창석유","화학",71500,-600,124386548000
"205","코스피","003350","한국화장품제조","화학",29450,-850,133467400000
"206","코스피","003240","태광산업","화학",797000,-13000,887379800000
"207","코스피","003080","성보화학","화학",3765,-40,75375300000
