"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1",2020-03-06,"000250","삼천당제약","-",43550,"409","106.48","6,719","6.48",50,0.11,1,2328
"2",2020-03-06,"000440","중앙에너비스","-",10050,"958","10.49","7,269","1.38",160,1.59,2,NA
"3",2020-03-06,"001000","신라섬유","-",1975,"7","282.14","587","3.36",0,0,3,NA
"4",2020-03-06,"001540","안국약품","-",9980,"1,154","8.65","11,253","0.89",220,2.2,4,NA
"5",2020-03-06,"001810","무림SP","-",2240,"505","4.44","9,212","0.24",35,1.56,5,NA
"6",2020-03-06,"001840","이화공영","-",4415,"24","183.96","2,164","2.04",20,0.45,6,NA
"7",2020-03-06,"002230","피에스텍","-",3730,"-","-","7,283","0.51",75,2.01,7,NA
"8",2020-03-06,"002290","삼일기업공사","-",2870,"250","11.48","4,578","0.63",100,3.48,8,NA
"9",2020-03-06,"002680","한탑","-",2025,"-","-","2,135","0.95",0,0,9,NA
"10",2020-03-06,"002800","신신제약","-",6050,"191","31.68","3,595","1.68",33,0.55,10,NA
"11",2020-03-06,"003100","선광","-",14500,"1,645","8.81","45,898","0.32",400,2.76,11,NA
"12",2020-03-06,"003310","대주산업","-",1280,"48","26.67","1,440","0.89",30,2.34,12,NA
"13",2020-03-06,"003380","하림지주","-",7090,"1,315","5.39","17,993","0.39",100,1.41,13,NA
"14",2020-03-06,"003800","에이스침대","-",40050,"2,929","13.67","38,920","1.03",1000,2.5,14,NA
"15",2020-03-06,"004590","한국가구","-",4225,"493","8.57","6,625","0.64",115,2.72,15,NA
"16",2020-03-06,"004650","창해에탄올","-",14250,"460","30.98","11,519","1.24",600,4.21,16,NA
"17",2020-03-06,"004780","대륙제관","-",3780,"228","16.58","6,517","0.58",80,2.12,17,NA
"18",2020-03-06,"005160","동국산업","-",2390,"204","11.72","6,930","0.34",130,5.44,18,NA
"19",2020-03-06,"005290","동진쎄미켐","-",15100,"928","16.27","5,875","2.57",90,0.6,19,NA
"20",2020-03-06,"005670","푸드웰","-",5220,"459","11.37","4,709","1.11",75,1.44,20,NA
"21",2020-03-06,"005710","대원산업","-",5060,"1,404","3.6","13,736","0.37",125,2.47,21,NA
"22",2020-03-06,"005860","한일사료","-",1695,"9","188.33","1,573","1.08",25,1.47,22,NA
"23",2020-03-06,"005990","매일홀딩스","-",10450,"1,930","5.41","19,879","0.53",120,1.15,23,NA
"24",2020-03-06,"006050","국영지앤엠","-",2595,"-","-","1,483","1.75",0,0,24,NA
"25",2020-03-06,"006140","피제이전자","-",4410,"473","9.32","6,995","0.63",185,4.2,25,NA
"26",2020-03-06,"006580","대양제지","-",3105,"1,439","2.16","4,203","0.74",50,1.61,26,NA
"27",2020-03-06,"006620","동구바이오제약","-",16900,"489","34.56","7,507","2.25",0,0,27,NA
"28",2020-03-06,"006730","서부T&D","-",7240,"-","-","11,167","0.65",0,0,28,NA
"29",2020-03-06,"006910","보성파워텍","-",1865,"-","-","1,710","1.09",0,0,29,NA
"30",2020-03-06,"006920","모헨즈","-",4175,"101","41.34","2,011","2.08",0,0,30,NA
"31",2020-03-06,"007330","푸른저축은행","-",7370,"1,994","3.7","16,417","0.45",550,7.46,31,NA
"32",2020-03-06,"007370","진양제약","-",5380,"83","64.82","3,504","1.54",100,1.86,32,NA
"33",2020-03-06,"007390","네이처셀","-",7780,"40","194.5","776","10.03",0,0,33,NA
